,X-axis,Y-Axis,Z-Axis
1085,-34,-103,854
1086,-72,-91,913
1087,-51,-88,986
1088,-38,-83,1019
1089,-9,-85,1122
1090,63,-63,1168
1091,51,-58,1157
1092,47,-41,1159
1093,49,-40,1163
1094,50,-11,1138
1095,29,-40,1118
1096,43,-30,1076
1097,47,-56,1066
1098,55,-41,1032
1099,52,-64,1038
1100,97,-54,1028
1101,94,-83,1059
1102,45,-71,1091
1103,27,-94,1094
1104,-8,-107,1094
1105,-4,-106,1093
1106,-6,-110,1098
1107,35,-73,1067
1108,17,-94,1039
1109,49,-49,974
1110,47,-24,932
1111,22,-52,928
1112,-4,-23,916
1113,-102,-72,920
1114,-102,-83,920
1115,-42,-117,938
1116,-6,-121,953
1117,77,-72,950
1118,89,-39,982
1119,101,-33,976
1120,91,-16,971
1121,26,-33,1041
1122,20,-41,1018
1123,-12,-95,1001
1124,-38,-121,984
1125,-24,-89,904
1126,19,-92,873
1127,81,-66,888
1128,140,-36,908
1129,143,20,957
1130,125,18,1031
1131,69,0,1049
1132,-8,-88,1104
1133,-77,-168,1215
1134,-135,-224,1281
1135,-142,-208,1270
1136,-108,-213,1289
1137,-38,-142,1269
1138,33,-37,1233
1139,58,46,1136
1140,43,83,1031
1141,71,98,915
1142,118,52,870
1143,153,-42,820
1144,131,-77,816
1145,122,-124,823
1146,149,-104,848
1147,137,-126,822
1148,31,-120,790
1149,-71,-107,749
1150,-171,-100,793
1151,-204,-87,739
1152,-160,-90,720
1153,-115,-89,781
1154,-2,-73,817
1155,101,-27,919
1156,160,8,1024
1157,171,38,1082
1158,180,42,1178
1159,114,-15,1308
1160,65,-53,1339
1161,39,-134,1358
1162,4,-163,1341
1163,-44,-184,1324
1164,-68,-157,1329
1165,4,-85,1280
1166,7,-68,1264
1167,37,21,1190
1168,15,1,1154
1169,47,29,1027
1170,65,13,910
1171,73,-6,825
1172,91,-35,776
1173,93,-40,766
1174,53,-112,691
1175,15,-127,663
1176,-28,-176,701
1177,-56,-190,755
1178,-46,-163,751
1179,-86,-127,759
1180,-44,-95,755
1181,42,-52,813
1182,153,-7,861
1183,158,-24,939
1184,135,10,1026
1185,65,11,1101
1186,-4,-23,1233
1187,-68,-45,1328
1188,-87,-43,1363
1189,-79,-40,1337
1190,-36,-58,1334
1191,30,-30,1255
1192,97,-56,1219
1193,140,-60,1185
1194,144,-81,1177
1195,81,-94,1151
1196,32,-102,1169
1197,19,-101,1171
1198,31,-86,1154
1199,16,-83,1102
1200,4,-61,965
1201,18,-64,867
1202,0,-81,816
1203,-13,-81,726
1204,-19,-92,728
1205,-24,-76,724
1206,1,-55,752
1207,35,-24,780
1208,104,-9,782
1209,150,-14,741
1210,181,-51,719
1211,103,-92,741
1212,27,-98,811
1213,-47,-122,922
1214,-93,-122,1025
1215,-96,-87,1167
1216,-130,-82,1328
1217,-78,-28,1411
1218,6,-11,1453
1219,91,-38,1456
1220,128,-55,1429
1221,159,-58,1400
1222,115,-57,1367
1223,84,-36,1293
1224,28,-40,1244
1225,41,0,1184
1226,22,-24,1138
1227,52,-39,1047
1228,60,-90,915
1229,48,-139,789
1230,37,-126,719
1231,0,-124,682
1232,-35,-91,672
1233,-74,-53,706
1234,-31,-28,761
1235,0,-45,814
1236,93,-47,878
1237,138,-50,894
1238,140,-73,885
1239,114,-117,899
1240,32,-102,935
1241,-41,-92,993
1242,-60,-39,1081
1243,-90,-22,1154
1244,-89,-7,1228
1245,-10,-12,1298
1246,12,-27,1304
1247,47,-86,1278
1248,62,-99,1234
1249,30,-123,1196
1250,27,-113,1160
1251,50,-75,1121
1252,69,-34,1180
1253,84,18,1183
1254,95,27,1120
1255,87,-20,1085
1256,78,-63,1019
1257,41,-113,985
1258,-26,-156,931
1259,-54,-169,881
1260,-93,-156,912
1261,-71,-93,885
1262,-32,-52,875
1263,-22,-24,870
1264,70,11,820
1265,84,-12,789
1266,130,5,745
1267,81,-61,791
1268,81,-34,806
1269,40,-51,919
1270,-14,-48,1033
1271,-80,-57,1158
1272,-58,-48,1228
1273,-42,-79,1275
1274,9,-77,1293
1275,46,-124,1275
1276,63,-131,1203
1277,54,-120,1207
1278,55,-96,1154
1279,47,-60,1136
1280,41,-1,1168
1281,31,15,1160
1282,55,40,1157
1283,74,18,1105
1284,123,4,1003
1285,104,-15,914
1286,46,-94,854
1287,11,-112,842
1288,-14,-123,860
1289,-17,-108,860
1290,-33,-130,916
1291,-22,-107,936
1292,27,-79,938
1293,27,-79,914
1294,66,-70,860
1295,14,-99,894
1296,31,-77,877
1297,4,-87,952
1298,-7,-61,996
1299,-11,-48,1069
1300,-18,-21,1089
1301,19,-33,1171
1302,46,-25,1177
1303,61,-57,1178
1304,93,-64,1131
1305,88,-97,1124
1306,69,-92,1122
1307,17,-92,1138
1308,-8,-72,1190
1309,13,-29,1158
1310,-20,-32,1147
1311,-12,-17,1105
1312,0,-21,1044
1313,34,-49,1022
1314,40,-87,975
1315,22,-90,917
1316,-39,-127,903
1317,-40,-87,902
1318,-31,-81,947
1319,4,-23,956
1320,46,-1,946
1321,69,-27,945
1322,98,-44,950
1323,127,-81,926
1324,82,-115,975
1325,16,-106,969
1326,-16,-135,1002
1327,-58,-100,1016
1328,-40,-85,1029
1329,-15,-80,1033
1330,-12,-69,1012
1331,68,-35,982
1332,39,-51,966
1333,57,-38,941
1334,56,-48,936
1335,53,-17,921
1336,33,-34,973
1337,54,-12,1007
1338,57,-20,1030
1339,75,-50,1082
1340,58,-96,1111
1341,28,-136,1100
1342,-17,-161,1146
1343,-45,-170,1134
1344,-71,-149,1121
1345,-82,-107,1155
1346,-40,-73,1127
1347,20,-25,1099
1348,74,0,1089
1349,100,13,1045
1350,98,12,966
1351,86,-32,928
1352,63,-38,924
1353,52,-71,882
1354,31,-87,882
1355,20,-99,869
1356,24,-110,883
1357,1,-119,871
1358,38,-67,855
1359,15,-74,877
1360,-11,-88,881
1361,10,-76,901
1362,-8,-71,958
1363,8,-78,1023
1364,-8,-68,1059
1365,29,-47,1099
1366,6,-38,1158
1367,22,-24,1184
1368,1,-33,1198
1369,13,-27,1184
1370,47,-46,1114
1371,24,-76,1114
1372,10,-82,1134
1373,27,-59,1070
1374,50,-77,1071
1375,77,-65,1010
