,X-axis,Y-Axis,Z-Axis
1108,96,-20,976
1109,112,-26,1000
1110,77,-74,1005
1111,54,-47,992
1112,-5,-62,1049
1113,-82,-104,1036
1114,-103,-125,1087
1115,-85,-134,1098
1116,-104,-163,1131
1117,-52,-133,1132
1118,-11,-114,1095
1119,31,-142,1127
1120,104,-63,1113
1121,124,-47,1124
1122,108,-38,1137
1123,52,-74,1178
1124,28,-20,1223
1125,-29,11,1237
1126,2,41,1199
1127,29,9,1140
1128,68,-17,1083
1129,118,-20,1001
1130,81,-9,936
1131,44,-39,762
1132,2,-81,660
1133,-58,-142,633
1134,-61,-138,617
1135,-39,-141,610
1136,31,-155,581
1137,80,-166,638
1138,130,-142,695
1139,142,-114,768
1140,95,-93,785
1141,25,-64,855
1142,-29,-64,967
1143,-81,-54,1155
1144,-25,-24,1280
1145,-4,-20,1389
1146,40,9,1428
1147,22,0,1460
1148,9,8,1455
1149,-13,23,1412
1150,-58,6,1364
1151,-35,17,1253
1152,-45,8,1180
1153,20,-1,1109
1154,101,-20,1018
1155,198,-45,975
1156,231,-76,953
1157,218,-103,947
1158,199,-109,956
1159,140,-150,965
1160,48,-157,987
1161,-61,-172,1028
1162,-93,-169,990
1163,-168,-158,986
1164,-179,-136,942
1165,-156,-92,886
1166,-84,-70,800
1167,-78,-54,747
1168,-23,-12,671
1169,-21,14,665
1170,9,13,689
1171,43,24,748
1172,107,27,822
1173,169,-2,948
1174,220,25,1049
1175,240,-43,1168
1176,255,-43,1225
1177,195,-108,1316
1178,111,-111,1375
1179,32,-129,1388
1180,-29,-117,1443
1181,-105,-113,1446
1182,-93,-110,1457
1183,-70,-106,1417
1184,-50,-124,1337
1185,-29,-98,1201
1186,-12,-106,1098
1187,-40,-113,1027
1188,-42,-62,902
1189,-72,-72,817
1190,-19,-26,729
1191,36,-15,677
1192,98,-22,701
1193,182,-24,704
1194,174,-50,733
1195,164,-41,732
1196,153,-39,765
1197,93,-55,832
1198,4,-59,926
1199,-3,-21,960
1200,2,-36,984
1201,-23,-63,996
1202,15,-49,1023
1203,-20,-93,1126
1204,-9,-101,1159
1205,-41,-98,1177
1206,-80,-122,1214
1207,-67,-150,1255
1208,-37,-120,1273
1209,-23,-139,1326
1210,61,-85,1313
1211,76,-98,1242
1212,93,-22,1178
1213,89,0,1118
1214,93,7,1067
1215,109,28,976
1216,24,20,940
1217,59,12,906
1218,34,-5,958
1219,68,-9,914
1220,69,-72,940
1221,110,-78,953
1222,63,-106,963
